review,ord,ord_group
주의: 결승선 직선주로 안으로 기댐,5,0
출전정지 2개월: 경주능력부진(1위마와 48.3마신차)-주행심사,12,0
후미권 머물렀지만 직선주로 끝걸음 보이며 추입으로 5착,5,0
선행마 후미를 따라가며 강공이나 시종 선두로 나서지못해,3,0
선입 최선전개 펼쳤으나 경주내내 역전 실패로 2착 만족,2,1
중반이후 밀렸고 직선주로 끝걸음 양호하나 큰변화는 아님,9,0
선행마 후미출발이나 3-4코너 밀렸고 직선 올라오나 한발부족,3,0
시종 후미권 머물렀으나 직선주로 끝걸음 보이며 올라섬,7,0
인코스 선입 최적전개후 직선주로 한발 쓰면서 신승을 거둠,1,1
선행마 후미를 따라가며 기회노렸으나 직선지치며 후미로 처짐,8,0
시종 후미권에 경주내내 큰 변화 보이지도 못함,10,0
중위권 전개 펼쳤으나 직선주로 추격 하용하며 밀리는 모습,6,0
선두권 후미를 따라가며 기회노렸으나 직선막판 격차못좁혀,3,0
경주전반에 걸쳐 후미권을 벗어나지 못하고 따라가는 모습,11,0
중위권 전개하며 순위도약을 노렸으나 직선지치며 후미로 처짐,11,0
초반부터 선두권을 압박하며 따라갔으나 직선 입상과는 격차,4,0
중반이후 격차좁혔으나 직선주로 추격 허용하며 최하위 처짐,12,0
선입 최선전개 펼쳤고 직선주로 탄력 이어가며 2착선전,2,1
주의: 결승선 직선주로 바깥으로 기댐,1,1
선행마 후미를 따라가며 기회노렸으나 막판 덜미 3착만족,3,0
경주전반에 걸쳐 후미권을 벗어나지 못하고 따라가는 모습,10,0
선행성공이나 3코너 선두내주고 따라갔으나 직선밀려 3착,3,0
주행심사: 출발이후 4코너까지 바깥으로 기댐,11,0
선행성공이나 4코너 선두내주고 직선지치며 후미로 처짐,12,0
후미출발후 경주중반 순위도약 시도나 직선지치며 후미로,8,0
선행성공이나 3코너 선두내주고 4코너부터 순위밀려 직선후미,10,0
선입 최선전개 펼쳤으나 직선주로 추격 허용하며 처짐,9,0
출발부터 밀리는 모습에 중반에도 후미로 처지는 모습보임,12,0
중위권 전개 펼쳐나갔지만 직선 걸음 무뎌지며 후미처짐,11,0
중반이후 밀렸고 직선주로 다시 한발쓰나 역전실패 아쉬움,5,0
선행마 후미를 따라갔으나 직선초반부터 격차벌어지며 밀려,9,0
선입권 전개나 1코너 진입지점에서 방해를 받으며 고전,9,0
출발밀렸고 시종 순위를 좁혔으나 막판 입상과는 격차있어,5,0
기승정지: 결승선 전방 약 250M 지점 안으로 진로변경 타마방해,1,1
후미출발후 시종 순위를 좁히며 올라왔으나 역전실패 3착,3,0
시종 후미권 전개하며 순위도약을 노렸으나 시종여의치않음,7,0
선행마 후미권 각축전개하다 직선 선두부상후 여유승,1,1
기승정지: 출발후 약 300M 지점 안으로 진로변경 타마방해,1,1
중위권 전개하다 직선 방해를 받았어도 선두로 부상하며 우승,1,1
시종 후미권을 벗어나지 못했으나 직선 걸음발휘 순위좁혀,6,0
선행으로 경주주도했으나 직선주로 덜미잡혀 3착에 머뭄,3,0
중위권 최선전개나 경주내내 큰 변화는 보여주지 못함,5,0
출발부터 밀렸으나 직선주로 탄력으로 추입나서며 4착기록,4,0
중간후미 맴돌았고 직선주로 추입력 보이나 역전실패 아쉬움,2,1
선행마 후미따르며 각축전개하다 직선 막판 선행마 덜미잡아,1,1
중반이후 격차좁혔고 직선 탄력 유지하며 4척 기록함,4,0
초반부터 선두를 추격했으나 경주내내 역전실패로 2착만족,2,1
늦발후 시종 후미권 전개하다 직선 추입력을 보여주며 올라옴,5,0
과태금: 결승선 직선주로 채찍 과다사용,2,1
중위권 전개하다 직선 추입력을 보여주며 막판 후착각축,3,0
출발밀렸으나 3코너 선두권 가담후 직선선두부상 여유승,1,1
선두권을 압박하며 따라갔으나 직선지치며 후미로 밀려,7,0
선입권에서 1코너부터 선두권 각축전개나 시종 선두로 못나서,2,1
선행으로 경주를 주도했고 시종 선두를 유지하며 여유승,1,1
시종 후미권을 벗어나지 못했으나 막판 걸음은 좋은모습,7,0
양호한 출발로 선두권 공략이나 직선지치며 후미로 처짐,8,0
선행마 후미를 따라가다 직선 선두부상후 여유있게 우승,1,1
선두권을 압박하며 따라갔으나 4코너부터 격차벌어지는 모습,5,0
초반부터 중위권 공략이나 직선지치며 순위밀리는모습,7,0
후미권 이끌며 순위도약을 노렸으나 시종 여의치않은모습,8,0
주의: 출발부터 4코너 지점까지 바깥으로 기댐,8,0
출발밀렸고 3-4코너 순위좁혔으나 직선 탄력이 떨어지며 밀려,6,0
시종 후미권을 벗어나지 못했으나 막판 걸음은 좋은모습,7,0
시종 후미권 전개나 직선 추입력을 보여주며 올라오며 통과,5,0
후미출발후 순위좁혔으나 시종 여의치않은모습을 보여줌,8,0
선행으로 경주를 주도했고 시종 선두유지하며 막판 버티기,1,1
선행마 후미따르다 2코너 선두부상후 여유있게 우승성공,1,1
선입권 전개하다 직선 선행마 후미가담이나 막판 선두로 못나서,2,1
선행마 후미출발이나 3-4코너 선입권 이후 직선 순위더밀려,7,0
주의: 결승선 직선주로 바깥으로 기댐,5,0
중위권 전개하며 기회노렸으나 시종 순위변동없이 따라감,5,0
선입 최선전개 펼쳤으나 직선주로 추격 허용해 3착에 그침,3,0
선두권을 압박하며 따라갔으나 4코너이후 지치며 후미로,10,0
견책: 3코너 진입지점 안으로 진로변경 타마 주행방해,1,1
선행으로 경주를 주도했고 시종 선두를 유지하며 우승성공,1,1
중위권 전개하다 직선 추입력을 보여주며 막판 후착각축,3,0
시종 후미권 전개하다 직선 추입력을 보여주며 후착각축,3,0
선행으로 경주를 주도했고 시종 선두유지하며 막판 버티기,1,1
선행마 후미출발이나 4코너부터 순위가 밀리는모습보여줌,12,0
중간후미 유지해 나갔으나 직선 걸음 무뎌지며 최하위 처짐,12,0
선두권을 압박하며 따라가다 직선 선두부상이나 막판 덜미후착,2,1
밀며 선입전개 펼쳤지만 직선주로 추격 허용하며 5착에 그침,5,0
후미출발후 경주중반 중위권 도약후 직선 추입력발휘 후착각축,3,0
선행으로 경주주도했고 직선 탄력으로 격차 벌이며 우승차지,1,1
선두권 후미에서 순위좁혀 직선 선두부상후 여유있게 우승,1,1
출발부터 밀리는 모습이나 직선주로 추입 나서며 4착기록,4,0
시종 후미권 전개하다 직선 순위좁혔으나 막판 탄력떨어져,5,0
후미출발후 3-4코너 선두권 후미도약이나 직선다소 지친모습,5,0
후미권 이끌며 순위도약을 노렸으나 시종 여의치않은모습,7,0
선두권 후미를 따라가며 기회노렸으나 막판 선두와는 격차,3,0
출발도 밀렸고 경주전할수록 순위가 밀리는모습을 보여줌,11,0
선행으로 경주를 주도했으나 직선막판 근소한 차이로 덜미잡혀,2,1
선행으로 경주를 주도했으나 직선 선두내주고 순위밀려,6,0
선두권 후미를 따라가며 기회노렸으나 시종 순위변동없어,4,0
시종 후미권을 벗어나지 못했으나 직선 추입력을 보여줌,3,0
선행마 후미따르며 각축전개하다 3코너에서 방해를 받으며 밀려,10,0
중반이후 밀리는 모습에 직선에서도 걸음 무뎌지며 처짐,12,0
중반이후 밀리는 모습에 직선주로에서도 큰 변화 보이지 못함,5,0
중반이후 격차좁혔으나 직선주로 순위변동 이끌지는 못함,3,0
선행 강공이나 중반이후 선두내주었고 직선 걸음 무뎌짐,6,0
선행으로 경주를 주도했으나 직선 지치며 선두내주고 후미로,8,0
후미권에서 순위좁혀 직선 선행마 후미가담이나 막판 덜미,3,0
중간후미 머물러 있었으나 직선주로 추입력 보이며 3착기록,3,0
시종 중간후미에 경주내내 큰변 못보임. 주행재검(바깥 기댐),5,0
출발부터 밀리는 모습이나 경주막판 조금 올라서는 모습,8,0
출발은 가장 좋았으나 외곽 극복 못하고 처짐,10,0
붙잡고 중위 인코스 전개. 직선 탄력이나 막판덜미,2,1
밀면서 선두후미 나섰으나 역전실패로 아쉬움,2,1
무난한 출발로 선입. 직선 다소 지쳐 2착,2,1
밀며 외곽 중위권이나 직선 걸음변화 아쉬움,4,0
선두 노릴 정도로 출발은 좋으나 직선 추격 허용함,6,0
시종 후미에 경주내내 큰 변화 보이지 못함,12,0
중위권 전개 나섰지만 직선 걸음 무뎌지며 처짐,11,0
인코스 최적전개나 직선 막판 덜미잡혀 3착,3,0
인코스 최적전개후 직선 탄력 보이면서 4착,4,0
빠른 출발이나 외곽 아쉬움. 직선 끈기로 2착,2,1
시종 후미권에 직선에서도 큰변화 못보임,10,0
시종 중간후미에 직선주로 걸음 무뎌져 처짐,11,0
중반이후 밀리는 모습에 직선에서도 후미머뭄,12,0
꾸준히 선두 압박했고 직선 끈기 보이며 2착신승,2,1
시종 후미 머물렀고 경주내내 후미 머뭄,11,0
선입 최적전개 펼쳤으나 직선 막판 덜미로 2착,2,1
시종 후미에 직선에서도 큰 변화는 아님,8,0
중반이후 나서는 듯 했으나 직선 걸음 무뎌짐,9,0
초반부터 선두 추격인타 역전실패 아쉬움,2,1
시종 후미에 직선 중반 다소 방해받지만 큰 영향 없음,8,0
외곽이나 출발이후 강하게 밀었으나 직선 처짐,10,0
경주내내 중위권 전개나 직선 큰변화 못보임,6,0
후미권 인코스 전개하다 직선 추입나서며 5착,5,0
중반이후 밀렸고 직선에서도 걸음무뎌져 처짐,9,0
인코스 이점살려 선두나섰고 직선 지키며 우승,1,1
중위권 경주전개후 직선 탄력 보이며 3착기록,3,0
선입 인코스 최적전개나 직선 걸음 무뎌져 처짐,9,0
부드럽게 선두로 나섰으나 직선 덜미잡혀 4착,4,0
시종 후미에 직선에서도 최하위에 머뭄,12,0
선입 경주전개나 직선주로 걸음 무뎌지며 처짐,6,0
중위권 경주전개나 직선에서 큰 변화 보이지못함,5,0
중위권 인코스 전개. 직선 외곽 추입으로 3착,3,0
"경주능력부진, 1개월 출전정지",12,0
인코스 최적 선입전개후 한발 쓰나 아쉬운 2착,2,1
인코스에서 선행 나서지 못했고 직선 처짐,9,0
출발직후 밀려 후미 머물다 직선 추입력 보이며 3착,3,0
중위권 경주전개나 직선 추격허용해 처짐,10,0
중위권 경주전개나 직선 추격 허용해 밀려남,8,0
인코스 이점살려 선행이나 직선 추격허용해 처짐,5,0
중반이후 격차좁히나 직선 큰변화는 아님,7,0
중간후미 머물다 직선 외곽 선택후 탄력으로 신승,1,1
너무 늦은 추입 탄력을 보이며 역전실패 아쉬움,3,0
시종 중간후미아 직선주로 막판 조금 올라서는 정도,7,0
중반이후 나섰으나 직선주로 큰변화는 못보임,7,0
중간후미 머물렀으나 직선 추입력 보이며 역전신승,1,1
좋은 출발로 선두접전 벌였고 경주막판 덜미로 2착,2,1
스타트 이후 꾸준히 스피드 끌어 올리며 5착,5,0
인코스 최적전개나 경주막판 끝걸음은 양호,4,0
외곽 극복하고 선두. 경주내내 여력 보이며 우승,1,1
시종 후미에 머물렀으나 직선 끝걸음은 양호,7,0
경주능력부진 주행재검,11,0
4코너 바깥으로 심하게 기댐. 주행재검 및 출전정지 2개월,12,0
시종 중간후미에 직선에서도 밀리는 모습,10,0
시종 중간후미에 직선에서도 큰 변화는 아님,9,0
시종 후미에 인코스 최적전개나 큰 변화는 아님,9,0
시종 외곽에 사행마에 방해도 받으며 변화 못보임,9,0
좋은 출발로 선입전개나 직선 추격허용해 4착,4,0
중위권 경주전개나 직선 걸음 무뎌져 처짐,8,0
시종 중간후미에 직선에서도 큰변화 보이지 못함,8,0
강하게 경주내내 선두 압박했으나 막판덜미 4착,4,0
인코스 최적전개나 직선 추격허용하며 밀림,6,0
중위권 최선전개나 직선 걸음 무뎌지며 처짐,11,0
시종 후미권이나 직선 끝걸음 보이며 추입 5착,5,0
선입 경주전개 펼쳤으나 직선 큰변화 못보임,4,0
시종 중간후미에 직선에서도 변화 못보임,8,0
출발후 붙잡고 힘 안배후 직선 한발이나 역전실패,5,0
중위권 전개후 직선 외곽 진로 선택이나 아쉬운 3착,3,0
시종 후미에 머물렀지만 직선주로 추입력 보임,6,0
인코스나 선행의지 없었고 직선 덜미잡혀 4착,4,0
중위권 유지 직선 탄력이나 역전실패,9,0
타마와 부딪히며 출발. 4c이후 좁히나 직선 밀림,5,0
무난한 출발 중위권. 직선 외곽 선택후 역주,1,1
외곽 중간후미 머물다 직선 인코스 파고들며 3착,3,0
중위권 경주전개후 직선 탄력 보이며 우승차지,1,1
초반부터 강하게 추진. 직선 추입으로 4착,4,0
중위권 경주전개후 직선 탄력 유지하며 4착,4,0
시종 중간후미에 직선에서도 최하위 처짐,12,0
시종 후미에 직선에서도 후미 벗어나지 못함,10,0
"경주능력부진, 출주정지 1개월",12,0
외곽 사행마에 방해받으며 시종 후미에 머뭄,10,0
좋은 출발로 선두접전 나섰으나 직선 걸음무뎌짐,9,0
출발부터 밀렸으나 직선주로 조금 나서는 모습,6,0
중간후미 머물렀으나 직선 조금 올라서며 5착,5,0
중위권 전개후 직선 추입 나서나 거리 못좁힘,3,0
출발후 압박 이겨내고 선두나 막판덜미 3착,3,0
출발이후 가속력 좋았고 직선 탄력유지 3착,3,0
초반 강하게 밀며 중위권이나 큰 변화 못 보임,6,0
압박 받으며 선두전개나 직선 막판 덜미로 3착,3,0
스타트는 좋으나 스피드 아쉬움. 인코스 최적전개,5,0
출발이후 빠른 스피드로 선두. 직선에서도 여유,1,1
중위권에서 기회 엿보다 직선 한발 보이며 우승,1,1
중반이후 밀렸고 직선에서도 변화 못보임,10,0
선행으로 경주주도. 직선 버티기로 신승,1,1
강하게 밀며 중위권이나 직선 걸음무뎌져 처짐,11,0
선입 최선전개 펼쳤으나 직선 덜미잡혀 4착머뭄,4,0
무난한 출발로 경주내내 인코스 최적전개 2착,2,1
선입 최선전개나 직선 걸음무뎌져 최하위,12,0
선두권 전개나 직선 추격 허용하며 밀리는모습,8,0
중반이후 밀렸으나 직선 막판 조금 올라서는 모습,6,0
밀며 선두권이나 직선 밀리는 모습,6,0
부드럽게 선두 나섰지만 직선 걸음 무뎌져 처짐,7,0
중간후미 머물렀으나 직선 추입 나서며 4착,4,0
강하게 밀며 선두접전. 직선 근성 보이며 재역전승,1,1
초반 자리잡기 아쉬움. 직선 탄력으로 3착,3,0
출발후 인코스 자리잡으며 최적전개나 큰변화 못보임,7,0
선입 경주전개 펼쳤으나 직선 추격허용해 밀림,6,0
중위권 기회 엿보다 직선 추입력 보이며 우승,1,1
강추진 선입전개이후 직선 탄력이 떨어진 모습,9,0
늦발후미 직선에서도 강한모습을 못보여줌,7,0
추진하며 선행마 후미공략이나 직선 지친모습,3,0
중반이후 격차좁혔고 직선 탄력 이어가며 4착,4,0
추진없이 후미권 전개나 직선 채찍대자 끝걸음,5,0
외축사행하며 후미전개 직선 선두권으로 못나섬,7,0
마필가는대로 중후미 전개후 직선 탄력보여줌,4,0
중위권 경주전개나 경주내내 큰변화는 못보임,5,0
후미권 이끌며 기회노렸으나 직선 강한모습없어,11,0
늦발이후 시종 후미전개후 직선 조금올라옴,6,0
강추진 선두권 각축이나 3-4코너이후 지친모습,10,0
선행력 보이며 선두 부상후 직선 탄력유지 우승,1,1
견책: 4코너 지점 안쪽진로 타마방해,9,0
늦발로 시종 후미전개나 직선 끝걸음을 보여줌,3,0
강하게밀어 선두나선후 시종 선두유지함,1,1
경주능력부진: 1위마와 60.7 마신 차,14,0
선입권 전개후 4코너 선두나 직선선두내줌,2,1
선입권 전개후 4코너이후 순위좁혔으나 실패,4,0
초반부터 선두 추격했으나 역전실패로 아쉬움,2,1
내측사행으로 초반 후미권 전개,11,0
주행심사: 1위마와 38.2 마신 차,11,0
추진없이 마필가는대로 자리잡은후 직선 선두마 덜미,1,1
시종 밀어 선두나선후 직선버티며 우승성공,1,1
선행마 후미따르며 격차벌어졌으나 막판역승,1,1
마필가는대로 중위권 공략이나 직선 강추진 못올라옴,5,0
초반 안쪽기댐을 제어하기 위해 추진없이 선입권,5,0
중하위권 전개나 시종 강한모습없어,9,0
추진없이 후미권 공략후 직선 선두권 후미공략,5,0
외곽 극복하고 선행. 직선 버티기로 신승,1,1
출발밀렸고 시종 후미권에서 강한모습없어,7,0
선행마 후미각축이나 직선지치며 후미로 처짐,8,0
선입 최선전개나 직선 걸음 무뎌지며 처짐,9,0
기립 늦발로 후미전개나 직선 탄력있는 추입력,3,0
후미권 이끌며 순위도약 시도나 여의치않음,8,0
후미출발이후 시종 순위를 좁히나 선두와는 격차,4,0
점핑출발이후 1코너 선두나 직선 지치며 후미로,11,0
초반 방해를 받으며 선입권 전개나 직선 다소 고전,3,0
츨발부터 밀며 전개. 직선 끝걸음 이어가는 모습,6,0
시종 후미권 벗어나지 못하는 모습,9,0
중위권 전개후 직선 추입 나서며 2착 선전,2,1
늦발이후 후미전개하다 직선 끝걸음 보여줌,4,0
선행이후 직선 후미와 격차벌리는 모습,1,1
초반 후미 안쪽으로 자리잡고 선두권 후미따라감,6,0
중위권 전개 펼쳤고 직선 끝걸음 유지하며 4착,4,0
주행심사: 1위마와 45.2 마신 차,12,0
양호한 출발로 선두권 가담이나 직선 밀리는 모습,6,0
중위권 공략이나 시종 순위변동없이 따라감,6,0
초반 밀렸고 직선 걸음을 보였으나 입상실패,5,0
선두권을 압박하며 따라갔으나 막판 지친모습,7,0
마필가는대로 시종 후미권 전개하며 따라감,8,0
강추진으로 자리잡고 직선초반 선두부상후 여유,1,1
선행후 내측사행으로 타마방해하는 모습,7,0
주행심사: 1위마와 35.7 마신 차,12,0
추진없이 선입권 공략후 직선 선두로 나서며 여유,1,1
점핑출발이후 순위밀렸으나 직선 조금올라옴,4,0
외곽에서 빠르게 선두권 공략이나 직선 밀려,9,0
강하게 밀어 4코너 선두나섰으나 이후 밀려,10,0
"경주능력부진, 주행재검",12,0
주의: 결승선 직선주로 바깥으로 기댐,1,1
선입전개나 4코너 지점에서 방해를 받아 고전,8,0
후미전개했고 4코너 방해를 받으며 밀려나가며 고전,7,0
중위권 공략후 직선 탄력이 떨어지며 입상실패,4,0
외곽 밀어 선행마 후미나 게이트 불리함 극복못해,6,0
추진없이 선두권 후미따라가나 서서히 격차벌어짐,8,0
늦발후 추진으로 선두권 후미가담이나 직선밀려,8,0
초반 외곽사행후 밀어 선입권이나 직선 지친모습,6,0
추진없이 후미전개후 직선 추입력 발휘 후착,2,1
강추진 출발이나 선두와 격차벌어지는 모습,9,0
기승정지: 출발후 350M 안으로 진로변경 타마방해,2,1
후미전개후 직선 올라오나 외측사행하는 모습,5,0
초반 중위권 공략이나 직선 지치며 후미로,12,0
외곽 강추진 선두권 후미가담이나 외곽돌며 고전,4,0
초반부터 시종 강하게 마필몰았으나 직선지친모습,5,0
4c이후 격차좁혔으나 직선 덜미잡혀 밀림,7,0
초반부터 선두부상. 직선 탄력으로 우승,1,1
주의: 3-4코너 바깥으로 기댐,10,0
시종 후미권이나 직선 탄력으로 추입나서 3착,3,0
강추진 선행으로 경주주도나 직선지치며 순위밀려,3,0
출발부터 밀렸고 직선에서도 큰 변화 못보임,7,0
시종 후미에 경주내내 후미 벗어나지 못함,11,0
초반 밀리며 후미출발후 중반 중위권 올라옴,7,0
주행심사: 1위마와 35.5 마신 차,12,0
추진없이 선두권 가담이나 직선 지친모습보여줌,10,0
과태금: 결승선 전방 약 100M 지점 채찍놓침,9,0
인코스 잇점살리지 못하고 초반밀리며 다소 고전,3,0
밀어출발이나 선두와 격차벌어지고 끝걸음보여줌,8,0
추진없이 가는대로 후미전개 직선 강하게 밀어 통과,6,0
늦은 출발이나 직선주로 탄력보이며 조금 나섬,8,0
약추진 선입전개하며 따라가다 직선 채찍으로 올라옴,4,0
양호한 출발로 선두권 각축이나 직선 지친모습,9,0
중위권 전개후 직선 선행마 후미나 선두와는 격차,2,1
4코너 돌면서 채찍시 머리를 들며 주행불량모습,9,0
시종 후미권을 벗어나지 못함,9,0
외곽 후미권 전개나 직선 중반이후 끝걸음,4,0
강하게 밀어 선두권 각축이나 직선 탄력이 떨어짐,5,0
선입 최선전개나 직선주로 추격 허용해 밀림,5,0
사행끼있으나 선두권 가담후 강공이나 직선밀려,8,0
후미출발후 3코너 순위좁혔으나 직선 밀려,8,0
초반 방해를 받으며 밀렸고 모래맞으며 후미,10,0
중반이후 선두나섰으나 직선 덜미잡혀 2착만족,2,1
늦은 출발이나 직선주로 추입력 보이며 올라섬,6,0
중반이후 밀리는 모습에 직선 큰변화 못보임,6,0
출발직후 밀렸으나 직선 다시 치고나오며 5착,5,0
선입 경주전개후 직선 탄력 이어가며 우승차지,1,1
선행으로 경주주도나 직선주로 덜미잡혀 2착,2,1
경주능력부진 출전정지 1개월. 출발불량 출발재검,12,0
"경주중 폐출혈 1회, 출주정지 1개월 및 주행재검",12,0
중반이후 격차좁히나 직선 덜미잡혀 아쉬움,5,0
밀며 중위권 나섰고 직선 탄력 보이며 2착선전,2,1
선행으로 경주주도했고 직선 탄력 유지하며 우승,1,1
선입 최선전개나 직선 덜미로 4착에 그침,4,0
중간후미 머물렀으나 직선 탄력 보이며 2착,2,1
출발직후 다소 밀렸으나 직선 끈기보이며 3착,3,0
중반이후 격차좁혔고 직선 탄력 이어가며 3착,3,0
선입 최선전개나 경주막판 덜미로 아쉬운 2착,2,1
선행으로 경주주도했고 직선 탄력 이어가며 우승,1,1
밀며 중간후미 머물렀고 직선 추입나서며 3착,3,0
선입 최선전대나 직선주로 걸음 무뎌지며 밀려남,6,0
선행으로 경주주도나 직선 추격허용해 3착,3,0
중반이후 격차좁혔지만 직선 큰 변화는 아님,7,0
중반이후 밀렸으나 직선 재역주로 신승,1,1
중반이후 선두내주었고 직선 덜미로 3착,3,0
중반이후 밀렸고 직선에서도 밀림. 출발자세불량 출발재검,6,0
중위권 경주전개나 직선 큰변화는 못보임,5,0
밀며 중위권 나섰지만 직선 걸음 무뎌져 처짐,8,0
중반이후 격차좁혔고 직선 탄력 보이며 4착기록,4,0
선입 최선전개나 직선 걸음 무뎌지며 처짐,9,0
선입 경주전개후 직선주로 탄력 보이며 우승,1,1
시종 중간후미에 경주내내 큰변화 보이지 못함,9,0
중반이후 격차좁혔고 직선 탄력 유지하며 2착,2,1
중반이후 밀렸고 직선 큰 변화 보이지 못함,4,0
늦은 출발이나 직선주로 추입력 보이며 4착,4,0
경주내내 선두접전이나 직선 끈기보이며 신승,1,1
중반이후 밀리는 모습에 직선 큰변화 못보임,7,0
시종 후미 머물렀지만 직선주로 추입나서며 4착,4,0
출발부터 밀렸고 경주내내 큰 순위변동 못보임,8,0
중위권 경주전개후 직선 탄력 보이면서 우승,1,1
중반이후 격차좁히나 직선 덜미잡혀 밀려남,4,0
시종 후미권이나 직선주로 조금 나서는 모습,8,0
늦은 출발에 경주내내 후미 벗어나지 못함,10,0
중반이후 격차좁히나 직선 걸음무뎌져 후미처짐,11,0
시종 중간후미에 경주내내 큰변화 보이지 못함,7,0
중반이후 선두내주었고 직선 덜미잡혀 3착,3,0
시종 후미권에 직선 추입나서나 역전실패 아쉬움,5,0
중반이후 선두나섰고 직선 격차벌이며 우승,1,1
선입 최선전개나 직선주로 추격 허용해 후미,8,0
밀며 중위권 전개나 경주내내 순위변동 못보임,4,0
중반이후 격차좁히나 직선 걸음 무뎌져 처짐,7,0
출발부터 밀렸으나 직선 추입력 보이며 2착,2,1
초반부터 선두 추격했으나 역전실패 아쉬움,2,1
중반이후 밀렸으나 직선주로 다시 나서는 모습,5,0
경주능력부진 주행재검,12,0
출발부터 밀며 전개했고 직선 탄력 이어가며 2착,2,1
시종 중간후미나 직선 탄력 보이며 추입나섬,4,0
선행으로 경주주도했고 직선 버티기로 신승,1,1
밀며 선입전개 나서나 직선 덜미잡혀 밀림,5,0
선입 전개후 직선주로 탄력 보이며 우승차지,1,1
중간후미 머물렀으나 직선 추입나서며 2착,2,1
중반이후 격차좁혔고 직선 탄력 이어가며 2착,2,1
시종 후미에 경주내내 큰 변화 보이지 못함,11,0
중반이후 격차좁혔고 직선 탄력 이어가며 3착,3,0
시종 후미에 경주내내 후미 벗어나지 못함,11,0
중반이후 밀렸으나 직선 막판 조금 나서는 모습,9,0
초반부터 선두 추격했으나 경주내내 역전에는 실패,2,1
중반이후 밀렸으나 경주막판 조금 나서는 모습,5,0
중위권 전개나 직선주로 덜미잡혀 밀리는 모습,7,0
중반이후 밀리는모습에 직선 걸음 무뎌져 최하위,12,0
경주능력부진 주행재검,11,0
중반이후 덜미잡혔고 직선 역전실패로 아쉬움,3,0
시종 중간후미 머물다 직선주로 걸음 무뎌져 처짐,10,0
시종 후미에 경주내내 후미 벗어나지 못함,9,0
중반이후 격차좁혔고 직선 탄력이어가며 3착,3,0
중위권 전개후 직선 탄력 보이며 2착선전,2,1
중위권 경주전개나 경주막판 덜미잡혀 3착 머뭄,3,0
중반이후 격차좁히나 직선 큰 변화 보이지 못함,6,0
중반이후 밀리는 모습에 직선에서도 덜미잡힘,5,0
중위권 최선전개나 직선주로 걸음 무뎌지며 처짐,7,0
초반부터 선두접전 나섰으나 막판덜미 아쉬움,2,1
출발부터 강하게 밀었으나 큰변화 보이지 못함,6,0
출발부터 밀렸고 직선주로 후미 벗어나지 못함,10,0
시종 후미권이나 직선 추입력 보이며 4착기록,4,0
중반이후 격차좁혔지만 직선 추격허용해 밀림,7,0
중반이후 격차좁히나 직선 걸음 무뎌져 후미처짐,11,0
중반이후 격차좁히나 직선 큰변화는 못보임,7,0
밀며 선입 최선전개나 직선막판 덜미로 4착,4,0
중위권 전개나 직선주로 추격 허용하며 밀려남,5,0
중위권 경주전개나 직선 걸음무뎌져 처짐,11,0
선행 강공 나섰으나 직선 걸음 무뎌져 처짐,6,0
